'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mmHg','mV','l'
'[23:16:10.000 09/02/1989]',0.086,119.344,-0.011,-0.238
'[23:16:10.004 09/02/1989]',0.078,119.574,-0.014,-0.235
'[23:16:10.008 09/02/1989]',0.074,121.180,-0.017,-0.238
'[23:16:10.012 09/02/1989]',0.100,121.869,-0.019,-0.240
'[23:16:10.016 09/02/1989]',0.098,123.016,-0.020,-0.238
'[23:16:10.020 09/02/1989]',0.092,123.705,-0.019,-0.235
'[23:16:10.024 09/02/1989]',0.104,125.312,-0.017,-0.240
'[23:16:10.028 09/02/1989]',0.088,125.771,-0.015,-0.235
'[23:16:10.032 09/02/1989]',0.092,126.689,-0.011,-0.235
'[23:16:10.036 09/02/1989]',0.070,127.148,-0.007,-0.233
'[23:16:10.040 09/02/1989]',0.098,127.836,-0.004,-0.230
'[23:16:10.044 09/02/1989]',0.076,128.066,-0.001,-0.226
'[23:16:10.048 09/02/1989]',0.084,128.525,-0.000,-0.230
'[23:16:10.052 09/02/1989]',0.090,128.754,0.006,-0.221
'[23:16:10.056 09/02/1989]',0.096,128.525,0.009,-0.216
'[23:16:10.060 09/02/1989]',0.082,128.754,0.012,-0.219
'[23:16:10.064 09/02/1989]',0.084,128.525,0.011,-0.209
'[23:16:10.068 09/02/1989]',0.104,128.295,0.013,-0.209
'[23:16:10.072 09/02/1989]',0.106,127.836,0.009,-0.209
'[23:16:10.076 09/02/1989]',0.120,127.377,0.009,-0.202
'[23:16:10.080 09/02/1989]',0.120,127.148,0.008,-0.200
'[23:16:10.084 09/02/1989]',0.120,125.771,0.009,-0.195
'[23:16:10.088 09/02/1989]',0.122,125.771,0.009,-0.202
'[23:16:10.092 09/02/1989]',0.148,125.312,0.012,-0.195
'[23:16:10.096 09/02/1989]',0.176,125.312,0.011,-0.190
'[23:16:10.100 09/02/1989]',0.180,124.394,0.013,-0.190
'[23:16:10.104 09/02/1989]',0.178,123.935,0.014,-0.188
'[23:16:10.108 09/02/1989]',0.182,122.787,0.015,-0.178
'[23:16:10.112 09/02/1989]',0.184,121.639,0.014,-0.181
'[23:16:10.116 09/02/1989]',0.208,121.869,0.014,-0.178
'[23:16:10.120 09/02/1989]',0.224,121.180,0.016,-0.185
'[23:16:10.124 09/02/1989]',0.234,120.262,0.014,-0.178
'[23:16:10.128 09/02/1989]',0.244,120.033,0.015,-0.181
'[23:16:10.132 09/02/1989]',0.238,119.115,0.014,-0.181
'[23:16:10.136 09/02/1989]',0.224,118.426,0.013,-0.178
'[23:16:10.140 09/02/1989]',0.220,117.967,0.007,-0.171
'[23:16:10.144 09/02/1989]',0.220,117.049,0.004,-0.171
'[23:16:10.148 09/02/1989]',0.198,116.590,-0.001,-0.176
'[23:16:10.152 09/02/1989]',0.180,116.131,-0.001,-0.171
'[23:16:10.156 09/02/1989]',0.162,115.672,-0.008,-0.166
'[23:16:10.160 09/02/1989]',0.118,114.984,-0.006,-0.162
'[23:16:10.164 09/02/1989]',0.084,114.984,-0.007,-0.162
'[23:16:10.168 09/02/1989]',0.060,114.066,-0.005,-0.157
'[23:16:10.172 09/02/1989]',0.042,113.377,-0.005,-0.152
'[23:16:10.176 09/02/1989]',0.022,112.689,-0.002,-0.152
'[23:16:10.180 09/02/1989]',0.032,112.918,-0.001,-0.147
'[23:16:10.184 09/02/1989]',0.028,112.459,-0.002,-0.152
'[23:16:10.188 09/02/1989]',0.026,112.000,-0.003,-0.152
'[23:16:10.192 09/02/1989]',0.042,111.541,-0.003,-0.147
'[23:16:10.196 09/02/1989]',0.032,111.312,-0.004,-0.145
'[23:16:10.200 09/02/1989]',0.040,110.623,-0.008,-0.140
'[23:16:10.204 09/02/1989]',0.032,110.164,-0.008,-0.138
'[23:16:10.208 09/02/1989]',0.034,110.164,-0.011,-0.143
'[23:16:10.212 09/02/1989]',0.036,109.934,-0.013,-0.143
'[23:16:10.216 09/02/1989]',0.038,110.164,-0.016,-0.135
'[23:16:10.220 09/02/1989]',0.018,109.246,-0.016,-0.133
'[23:16:10.224 09/02/1989]',0.018,109.246,-0.019,-0.133
'[23:16:10.228 09/02/1989]',0.018,109.016,-0.020,-0.131
'[23:16:10.232 09/02/1989]',0.020,108.328,-0.022,-0.133
'[23:16:10.236 09/02/1989]',0.022,108.328,-0.021,-0.128
'[23:16:10.240 09/02/1989]',0.016,108.328,-0.016,-0.133
'[23:16:10.244 09/02/1989]',-0.000,108.328,-0.016,-0.133
'[23:16:10.248 09/02/1989]',-0.030,108.328,-0.014,-0.124
'[23:16:10.252 09/02/1989]',-0.082,108.098,-0.011,-0.116
'[23:16:10.256 09/02/1989]',-0.122,107.639,-0.012,-0.116
'[23:16:10.260 09/02/1989]',-0.086,107.180,-0.012,-0.114
'[23:16:10.264 09/02/1989]',0.034,108.098,-0.011,-0.121
'[23:16:10.268 09/02/1989]',0.368,107.410,-0.012,-0.119
'[23:16:10.272 09/02/1989]',0.764,107.639,-0.015,-0.116
'[23:16:10.276 09/02/1989]',1.164,107.180,-0.014,-0.114
'[23:16:10.280 09/02/1989]',1.432,107.639,-0.014,-0.116
'[23:16:10.284 09/02/1989]',1.616,107.410,-0.013,-0.114
'[23:16:10.288 09/02/1989]',1.312,107.410,-0.016,-0.119
'[23:16:10.292 09/02/1989]',1.016,107.410,-0.014,-0.109
'[23:16:10.296 09/02/1989]',0.686,106.951,-0.017,-0.105
'[23:16:10.300 09/02/1989]',0.196,107.410,-0.013,-0.097
'[23:16:10.304 09/02/1989]',-0.168,106.492,-0.014,-0.105
'[23:16:10.308 09/02/1989]',-0.496,107.180,-0.013,-0.105
'[23:16:10.312 09/02/1989]',-0.704,106.492,-0.011,-0.100
'[23:16:10.316 09/02/1989]',-0.752,106.721,-0.011,-0.105
'[23:16:10.320 09/02/1989]',-0.554,106.262,-0.009,-0.097
'[23:16:10.324 09/02/1989]',-0.312,105.803,-0.005,-0.095
'[23:16:10.328 09/02/1989]',-0.154,105.344,-0.001,-0.093
'[23:16:10.332 09/02/1989]',-0.110,105.803,-0.001,-0.097
'[23:16:10.336 09/02/1989]',-0.118,105.574,-0.000,-0.097
'[23:16:10.340 09/02/1989]',-0.120,105.574,-0.000,-0.088
'[23:16:10.344 09/02/1989]',-0.112,105.115,-0.000,-0.090
'[23:16:10.348 09/02/1989]',-0.082,105.115,0.003,-0.093
'[23:16:10.352 09/02/1989]',-0.074,104.656,0.002,-0.088
'[23:16:10.356 09/02/1989]',-0.060,104.656,0.000,-0.086
'[23:16:10.360 09/02/1989]',-0.062,104.426,0.001,-0.086
'[23:16:10.364 09/02/1989]',-0.072,104.656,-0.000,-0.093
'[23:16:10.368 09/02/1989]',-0.056,103.738,-0.000,-0.081
'[23:16:10.372 09/02/1989]',-0.064,103.279,-0.004,-0.076
'[23:16:10.376 09/02/1989]',-0.058,102.820,-0.004,-0.078
'[23:16:10.380 09/02/1989]',-0.046,102.820,-0.006,-0.076
'[23:16:10.384 09/02/1989]',-0.032,102.590,-0.005,-0.076
'[23:16:10.388 09/02/1989]',-0.040,101.902,-0.006,-0.081
'[23:16:10.392 09/02/1989]',-0.024,102.361,-0.005,-0.081
'[23:16:10.396 09/02/1989]',-0.026,101.672,-0.005,-0.078
'[23:16:10.400 09/02/1989]',-0.024,101.443,-0.005,-0.076
'[23:16:10.404 09/02/1989]',-0.032,101.902,-0.006,-0.081
'[23:16:10.408 09/02/1989]',-0.012,101.443,-0.007,-0.078
'[23:16:10.412 09/02/1989]',-0.026,101.443,-0.007,-0.078
'[23:16:10.416 09/02/1989]',-0.016,101.672,-0.007,-0.090
'[23:16:10.420 09/02/1989]',-0.008,101.443,-0.007,-0.083
'[23:16:10.424 09/02/1989]',-0.002,100.984,-0.007,-0.086
'[23:16:10.428 09/02/1989]',-0.008,100.754,-0.006,-0.078
'[23:16:10.432 09/02/1989]',-0.008,100.984,-0.005,-0.076
'[23:16:10.436 09/02/1989]',-0.008,100.984,-0.004,-0.074
'[23:16:10.440 09/02/1989]',0.006,101.213,-0.002,-0.071
'[23:16:10.444 09/02/1989]',-0.004,101.902,0.001,-0.067
'[23:16:10.448 09/02/1989]',-0.002,103.049,0.003,-0.067
'[23:16:10.452 09/02/1989]',-0.000,104.656,0.004,-0.067
'[23:16:10.456 09/02/1989]',0.008,107.869,0.004,-0.059
'[23:16:10.460 09/02/1989]',0.006,110.164,0.008,-0.059
'[23:16:10.464 09/02/1989]',0.016,113.836,0.008,-0.074
'[23:16:10.468 09/02/1989]',0.032,118.197,0.011,-0.062
'[23:16:10.472 09/02/1989]',0.012,123.016,0.013,-0.067
'[23:16:10.476 09/02/1989]',0.020,127.607,0.015,-0.071
'[23:16:10.480 09/02/1989]',0.016,133.115,0.015,-0.069
'[23:16:10.484 09/02/1989]',0.026,138.853,0.014,-0.071
'[23:16:10.488 09/02/1989]',0.024,144.131,0.011,-0.067
'[23:16:10.492 09/02/1989]',0.070,149.410,0.010,-0.057
'[23:16:10.496 09/02/1989]',0.054,155.836,0.009,-0.064
'[23:16:10.500 09/02/1989]',0.086,161.344,0.005,-0.062
'[23:16:10.504 09/02/1989]',0.058,166.164,0.005,-0.052
'[23:16:10.508 09/02/1989]',0.076,172.590,0.002,-0.055
'[23:16:10.512 09/02/1989]',0.058,177.180,0.001,-0.057
'[23:16:10.516 09/02/1989]',0.076,182.000,0.002,-0.050
'[23:16:10.520 09/02/1989]',0.088,185.672,0.004,-0.052
'[23:16:10.524 09/02/1989]',0.110,188.197,0.002,-0.050
'[23:16:10.528 09/02/1989]',0.104,190.951,0.007,-0.059
'[23:16:10.532 09/02/1989]',0.080,192.787,0.005,-0.062
'[23:16:10.536 09/02/1989]',0.074,194.164,0.011,-0.045
'[23:16:10.540 09/02/1989]',0.104,194.623,0.015,-0.050
'[23:16:10.544 09/02/1989]',0.088,194.394,0.022,-0.052
'[23:16:10.548 09/02/1989]',0.106,193.705,0.024,-0.059
'[23:16:10.552 09/02/1989]',0.136,192.558,0.031,-0.045
'[23:16:10.556 09/02/1989]',0.104,190.951,0.032,-0.040
'[23:16:10.560 09/02/1989]',0.084,189.803,0.036,-0.048
'[23:16:10.564 09/02/1989]',0.100,188.197,0.041,-0.055
'[23:16:10.568 09/02/1989]',0.104,186.361,0.041,-0.040
'[23:16:10.572 09/02/1989]',0.120,184.295,0.043,-0.052
'[23:16:10.576 09/02/1989]',0.120,182.918,0.045,-0.040
'[23:16:10.580 09/02/1989]',0.112,181.771,0.045,-0.045
'[23:16:10.584 09/02/1989]',0.128,179.705,0.047,-0.036
'[23:16:10.588 09/02/1989]',0.138,178.098,0.049,-0.038
'[23:16:10.592 09/02/1989]',0.150,176.262,0.050,-0.040
'[23:16:10.596 09/02/1989]',0.130,174.656,0.049,-0.043
'[23:16:10.600 09/02/1989]',0.176,174.197,0.051,-0.045
'[23:16:10.604 09/02/1989]',0.128,172.820,0.051,-0.045
'[23:16:10.608 09/02/1989]',0.156,171.672,0.051,-0.040
'[23:16:10.612 09/02/1989]',0.154,170.984,0.049,-0.050
'[23:16:10.616 09/02/1989]',0.154,170.066,0.047,-0.045
'[23:16:10.620 09/02/1989]',0.176,169.148,0.045,-0.050
'[23:16:10.624 09/02/1989]',0.148,168.689,0.047,-0.045
'[23:16:10.628 09/02/1989]',0.132,167.771,0.044,-0.038
'[23:16:10.632 09/02/1989]',0.136,167.312,0.043,-0.043
'[23:16:10.636 09/02/1989]',0.120,166.623,0.042,-0.031
'[23:16:10.640 09/02/1989]',0.128,166.164,0.045,-0.050
'[23:16:10.644 09/02/1989]',0.152,165.246,0.043,-0.040
'[23:16:10.648 09/02/1989]',0.144,165.705,0.042,-0.052
'[23:16:10.652 09/02/1989]',0.108,165.246,0.045,-0.045
'[23:16:10.656 09/02/1989]',0.118,164.787,0.048,-0.038
'[23:16:10.660 09/02/1989]',0.096,164.328,0.045,-0.040
'[23:16:10.664 09/02/1989]',0.122,163.410,0.051,-0.043
'[23:16:10.668 09/02/1989]',0.130,162.721,0.053,-0.045
'[23:16:10.672 09/02/1989]',0.120,162.492,0.051,-0.036
'[23:16:10.676 09/02/1989]',0.116,161.574,0.052,-0.038
'[23:16:10.680 09/02/1989]',0.096,161.115,0.053,-0.036
'[23:16:10.684 09/02/1989]',0.112,159.738,0.049,-0.038
'[23:16:10.688 09/02/1989]',0.098,158.590,0.047,-0.040
'[23:16:10.692 09/02/1989]',0.094,157.672,0.044,-0.033
