"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"1",-94,-93,-61,-90,-97,-94,-93,-93,-96,-92,-48,-93,-100,-89,-92,-95,-92,-85,-58,-96,-98,-98,-97,-94,-82,-94,-92,-93,-92,-92,-92,-95,-93,-95,-96,-92
"2",-94,-93,-71,-90,-97,-94,-93,-93,NA,-92,-60,-93,-100,-89,-92,-93,-94,-88,-70,-96,-98,-98,-97,-94,-86,-94,-89,-93,-93,-92,-92,-95,-94,-95,-96,-92
"3",-93,NA,-70,-91,-97,NA,-90,-96,NA,-90,-51,-92,-92,-90,-92,-93,-94,-89,-69,-95,-98,-94,-89,NA,-85,-97,-89,-94,-92,-95,-93,-91,-97,-97,-95,-92
"4",-95,NA,-71,-88,-97,NA,-94,-92,NA,-90,-53,-90,-92,-90,-90,-93,-97,-90,-72,-95,-97,-94,-89,NA,-89,-97,-95,-91,-92,-95,-91,-95,-97,-97,-95,-92
"5",-95,NA,-70,-88,-96,NA,-97,-92,NA,-91,-56,-91,-93,-90,-89,-91,-97,-90,-69,-95,-98,-94,-91,NA,-90,-97,-95,-93,-94,-97,-91,-95,-94,-98,-95,-92
"6",-95,NA,-70,-95,-96,NA,-95,-92,NA,-92,-48,-89,-96,-90,-90,-95,-95,-94,-70,-95,-98,-94,-84,NA,-86,-97,-91,-90,-94,-92,-91,-96,-97,-98,-96,-93
"7",-92,NA,-71,-95,-97,NA,-95,-90,NA,-89,-57,-89,-96,-92,-90,-94,-95,-92,-72,-96,-93,-95,-92,NA,-87,-95,-91,-98,-92,-92,-88,-96,-97,-96,-95,-94
"8",-97,NA,-74,-92,-83,NA,-97,-90,NA,-93,-49,-90,-93,-92,-88,-94,-93,-92,-75,-96,-93,-95,-91,NA,-85,-95,-93,-98,-94,-91,-94,-91,-98,-96,-95,-94
"9",-97,NA,-72,NA,-83,NA,-98,-92,NA,-95,-54,-90,-92,-89,-90,-94,-97,-93,-73,-95,-90,NA,-88,NA,-87,-90,-93,-94,-94,-91,-90,-91,-98,-95,-95,-92
"10",-94,NA,-70,NA,-83,NA,-94,-93,NA,-90,-47,-90,-93,-91,-92,-94,-90,-90,-70,-95,-88,NA,-91,NA,-85,-90,-90,-93,-95,-91,-94,-92,-94,-95,-95,-92
"11",-94,NA,-74,NA,-83,NA,-94,-88,NA,-89,-48,-87,-95,-90,-91,-94,-90,-91,-70,-95,-90,NA,-91,NA,-86,-90,-96,-94,-95,-94,-90,-92,-94,-93,-95,-93
"12",-94,NA,-74,NA,-83,NA,-97,-88,NA,-91,-48,-87,-95,-90,-91,-93,-90,-91,-70,-95,-88,NA,-93,NA,-86,-89,-96,-90,-95,-89,-91,-95,-93,-88,-96,-93
"13",-96,NA,-73,NA,-86,NA,-93,-94,NA,-91,-47,-89,-95,-90,-91,-91,-93,-92,-71,-95,-88,NA,-87,NA,-86,-92,-94,-90,-95,-89,-93,-95,-98,-96,NA,-93
"14",-94,NA,-77,NA,-84,NA,-93,-93,NA,-94,-51,-88,-94,-91,-91,-97,-93,-91,-74,-92,-89,NA,-92,NA,-88,-93,-96,-93,-95,-94,-92,-94,-97,-96,NA,-93
"15",-92,NA,-79,NA,-85,NA,-94,-94,NA,-91,-53,-87,-91,-93,-90,-93,-97,-91,-70,-92,-89,NA,-92,NA,-88,-90,-96,-93,-95,-91,-95,-93,-95,-92,NA,-92
"16",-91,NA,-78,NA,-85,NA,-94,-93,NA,-94,-53,-90,-94,-93,-91,-93,-91,-92,-73,-92,-91,NA,-90,NA,-85,-90,-93,-93,-77,-96,-90,NA,-95,-92,NA,-95
"17",-91,NA,-73,NA,-83,NA,-95,-94,NA,-92,-50,-91,-94,-93,-88,-94,-92,-90,-71,-92,-92,NA,-90,NA,-87,-90,-97,-95,-77,-92,-93,NA,-95,-92,NA,-95
"18",-91,NA,-70,NA,-83,NA,-95,-93,NA,-92,-51,-89,-94,-89,-90,-88,-95,-89,-74,-90,-89,NA,-90,NA,-89,-88,-97,-94,-78,-92,-93,NA,-95,-93,NA,-92
