History Index - RR,R-R Interval(ms) - RR,
0,726.562,82.58070199
1,739.583,81.12679713
2,756.51,79.31157552
3,761.068,78.83658228
4,767.578,78.16795166
5,777.344,77.18590482
6,781.25,76.8
7,767.578,78.16795166
8,759.766,78.97168339
9,775.391,77.38031522
10,773.437,77.57580773
11,776.693,77.25059966
12,792.969,75.66500078
13,800.13,74.98781448
14,793.62,75.60293339
15,782.552,76.67222114
16,785.807,76.35462652
17,770.182,77.90366433
18,753.255,79.65430034
19,759.115,79.03940773
20,757.161,79.24338417
21,750.651,79.93062022
22,750,80
23,761.719,78.76920492
24,759.766,78.97168339
25,741.536,80.91313166
26,741.536,80.91313166
27,741.536,80.91313166
28,732.422,81.91998602
29,727.865,82.43286873
30,733.073,81.84723759
31,735.677,81.55753136
32,735.026,81.62976548
33,729.818,82.21227758
34,729.818,82.21227758
35,718.75,83.47826087
36,710.286,84.4730151
37,712.24,84.24126699
38,703.125,85.33333333
39,697.917,85.97010819
40,690.104,86.94341722
41,683.594,87.77139647
42,671.875,89.30232558
43,663.411,90.4416719
44,661.458,90.70870713
45,654.948,91.61032632
46,650.391,92.25219906
47,651.693,92.06789086
48,652.995,91.88431764
49,649.74,92.34463016
50,653.646,91.79280528
51,662.76,90.53050878
52,670.573,89.47571704
53,676.432,88.70071197
54,684.896,87.60454142
55,795.573,75.41734071
56,802.083,74.80522589
57,805.99,74.44261095
58,807.943,74.26266457
59,811.849,73.9053691
60,809.896,74.08358604
61,699.87,85.73020704
62,684.896,87.60454142
63,669.271,89.64978312
64,657.552,91.24753632
65,644.531,93.0909452
66,644.531,93.0909452
67,657.552,91.24753632
68,672.526,89.21588162
69,686.198,87.43831955
70,703.776,85.25439913
71,724.609,82.80327735
72,729.167,82.28567667
73,735.026,81.62976548
74,748.047,80.20886388
75,757.812,79.17530997
76,766.276,78.30076891
77,770.833,77.8378715
78,776.042,77.31540303
79,778.646,77.05683969
80,779.297,76.99246885
81,778.646,77.05683969
82,778.646,77.05683969
83,780.599,76.86404927
84,785.156,76.41793478
85,788.411,76.10243896
86,787.76,76.16532954
87,783.854,76.54486677
88,777.344,77.18590482
89,777.344,77.18590482
90,780.599,76.86404927
91,776.042,77.31540303
92,775.391,77.38031522
93,779.948,76.92820547
94,778.646,77.05683969
95,770.833,77.8378715
96,761.719,78.76920492
97,754.557,79.51685559
98,750.651,79.93062022
99,758.464,79.10724833
100,762.37,78.70194263
101,766.927,78.23430392
102,776.693,77.25059966
103,781.25,76.8
104,779.297,76.99246885
105,774.089,77.51046714
106,771.484,77.7721897
107,759.766,78.97168339
108,748.047,80.20886388
109,746.094,80.41882122
110,756.51,79.31157552
111,761.719,78.76920492
112,763.021,78.63479511
113,777.995,77.12131826
114,796.875,75.29411765
115,824.87,72.73873459
116,828.776,72.3959188
117,825.521,72.68137334
118,835.937,71.77574387
119,848.307,70.72911104
120,852.214,70.40485136
121,832.682,72.05631922
122,827.474,72.50983112
123,839.193,71.49725987
124,843.099,71.16601965
125,833.984,71.94382626
126,833.333,72.0000288
127,845.703,70.9468927
128,844.401,71.05628724
129,839.844,71.4418392
130,839.193,71.49725987
131,829.427,72.33909675
132,813.802,73.72800755
133,804.036,74.62352432
134,804.687,74.56315313
135,789.714,75.97687264
136,783.854,76.54486677
137,793.62,75.60293339
138,791.667,75.78944177
139,784.505,76.48134811
140,784.505,76.48134811
141,799.479,75.04887558
142,791.667,75.78944177
143,786.458,76.29142306
144,792.318,75.72717015
145,789.714,75.97687264
146,780.599,76.86404927
147,772.786,77.6411581
148,776.042,77.31540303
149,767.578,78.16795166
150,759.766,78.97168339
151,763.021,78.63479511
152,771.484,77.7721897
153,766.276,78.30076891
154,761.719,78.76920492
155,767.578,78.16795166
156,779.948,76.92820547
157,779.297,76.99246885
158,779.948,76.92820547
159,798.177,75.17129659
160,811.849,73.9053691
161,817.057,73.43428916
162,819.01,73.25917876
163,830.078,72.28236383
164,824.219,72.79618645
165,809.896,74.08358604
166,801.432,74.86598988
167,794.271,75.54096776
168,786.458,76.29142306
169,778.646,77.05683969
170,770.833,77.8378715
171,764.323,78.50084323
172,762.37,78.70194263
173,766.276,78.30076891
174,758.464,79.10724833
175,746.745,80.34871342
176,751.953,79.79222106
177,762.37,78.70194263
178,761.719,78.76920492
179,763.021,78.63479511
180,779.948,76.92820547
181,796.224,75.3556788
182,796.224,75.3556788
183,789.714,75.97687264
184,790.365,75.91429276
185,778.646,77.05683969
186,761.719,78.76920492
187,756.51,79.31157552
188,768.229,78.10171186
189,769.531,77.96956848
190,772.786,77.6411581
191,785.156,76.41793478
192,796.224,75.3556788
193,791.667,75.78944177
194,783.203,76.60849103
195,785.156,76.41793478
196,788.411,76.10243896
197,779.948,76.92820547
198,767.578,78.16795166
199,767.578,78.16795166
200,769.531,77.96956848
201,768.88,78.03558423
202,766.276,78.30076891
203,779.948,76.92820547
204,798.828,75.1100362
205,805.339,74.50278703
