History Index - RR,R-R Interval(ms) - RR
0,468.75
1,483.073
2,541.667
3,578.776
4,617.839
5,658.854
6,702.474
7,733.724
8,684.245
9,748.047
10,728.516
11,776.042
12,748.698
13,773.437
14,804.036
15,742.839
16,764.323
17,690.104
18,749.349
19,716.797
20,714.844
21,719.401
22,688.802
23,770.833
24,741.536
25,752.604
26,723.958
27,782.552
28,822.917
29,777.344
30,780.599
31,784.505
32,826.172
33,731.771
34,794.271
35,801.432
36,805.99
37,804.687
38,804.687
39,848.958
40,787.76
41,785.156
42,786.458
43,789.714
44,789.714
45,789.714
46,790.365
47,788.411
48,787.76
49,788.411
50,791.667
51,796.224
52,802.083
53,804.687
54,804.687
55,801.432
56,799.479
57,791.667
58,779.948
59,772.786
60,772.786
61,777.995
62,780.599
63,787.109
64,798.828
65,808.594
66,813.802
67,814.453
68,817.708
69,824.219
70,826.172
71,826.823
72,824.219
73,825.521
74,828.125
75,826.172
76,823.568
77,820.312
78,819.01
79,817.057
80,809.245
81,803.385
82,802.083
83,798.828
84,798.828
85,801.432
86,809.245
87,810.547
88,809.896
89,818.359
90,819.661
91,813.151
92,805.99
93,800.781
94,801.432
95,800.13
96,801.432
97,804.687
98,805.99
99,806.641
100,798.177
101,787.109
102,775.391
103,768.229
104,767.578
105,774.74
106,785.807
107,750
108,819.661
109,827.474
110,828.125
111,820.312
112,807.943
113,845.052
114,783.203
115,782.552
116,784.505
117,742.839
118,824.87
119,839.844
120,845.052
121,804.687
122,857.422
123,899.74
124,828.776
125,819.661
126,820.312
127,867.839
128,826.823
129,850.26
130,861.979
131,824.219
132,888.672
133,880.859
134,860.677
135,832.682
136,813.151
137,848.958
138,781.25
139,787.109
140,798.177
141,806.641
142,814.453
143,826.823
144,840.495
145,854.818
146,863.932
147,874.349
148,884.766
149,886.719
150,880.208
151,870.443
152,868.49
153,867.187
154,860.677
155,856.771
156,854.818
157,847.656
158,839.193
159,835.286
160,832.682
161,824.219
162,819.661
163,819.661
164,821.615
165,820.312
166,817.708
167,817.708
168,819.01
169,820.312
170,820.312
171,823.568
172,829.427
173,836.589
174,839.193
175,843.099
176,849.609
177,799.479
178,854.818
179,848.307
180,837.891
181,822.266
182,803.385
183,839.844
184,773.437
185,773.437
186,785.156
187,798.177
188,819.01
189,838.542
190,849.609
191,854.167
192,845.052
193,835.286
194,822.917
195,807.943
196,798.828
197,792.969
198,791.016
199,791.016
200,782.552
201,773.437
202,768.229
203,766.276
204,776.693
205,789.062
206,812.5
207,837.891
208,857.422
209,870.443
210,873.698
211,871.745
212,865.234
213,855.469
214,846.354
215,837.891
216,831.38
217,824.87
218,816.406
219,815.104
220,815.104
221,822.917
222,828.125
223,833.984
224,838.542
225,843.75
226,847.005
227,843.099
228,845.703
229,852.865
230,862.63
231,873.047
232,881.51
233,891.927
234,895.182
235,901.693
236,901.693
237,890.625
238,876.953
239,858.724
240,842.448
241,820.312
242,804.687
243,792.969
244,797.526
245,803.385
246,811.198
247,814.453
248,819.661
249,830.729
250,826.823
251,820.964
252,814.453
253,814.453
254,813.151
255,807.943
256,805.99
257,805.99
258,805.339
259,802.083
260,794.271
261,790.365
262,791.667
263,798.828
264,805.339
265,813.802
266,828.125
267,836.589
268,837.891
269,832.682
270,824.219
271,815.755
272,808.594
273,804.036
274,809.896
275,822.917
276,831.38
277,841.146
278,845.052
279,841.146
280,827.474
281,809.245
282,799.479
283,787.76
284,778.646
285,776.042
286,772.786
287,764.323
288,722.005
289,761.068
290,757.161
291,757.161
292,763.021
293,782.552
294,841.797
295,817.708
296,839.193
297,860.026
298,875.651
299,828.776
300,888.021
301,881.51
302,867.839
303,853.516
304,845.703
305,891.927
306,830.078
307,839.193
308,851.562
309,867.187
310,880.859
311,896.484
312,904.297
313,860.677
314,916.016
315,910.156
316,902.344
317,883.464
318,867.839
319,909.505
320,859.375
321,865.885
322,871.094
323,888.021
324,904.948
325,855.469
326,915.365
327,906.25
328,891.276
329,874.349
330,856.12
331,893.229
332,819.661
333,822.266
334,830.729
335,831.38
336,832.031
337,830.729
338,817.057
339,794.271
340,775.391
341,761.719
342,748.698
343,744.141
344,761.068
345,789.062
346,816.406
347,834.635
348,854.818
349,876.302
350,882.161
351,888.672
352,893.229
353,903.646
354,912.76
355,860.677
356,928.385
357,919.922
358,910.156
359,903.646
360,899.089
361,956.38
362,897.786
363,908.854
364,922.526
365,867.839
366,953.125
367,953.125
368,942.057
369,921.224
370,899.089
371,945.964
372,848.307
373,828.125
374,809.245
375,794.271
376,779.948
377,731.12
378,776.042
379,775.391
380,784.505
381,795.573
382,811.849
383,863.281
384,822.917
385,834.635
386,846.354
387,858.073
388,861.979
389,877.604
390,901.042
391,908.203
392,906.901
393,906.25
394,898.437
395,868.49
396,829.427
397,798.828
398,769.531
399,712.24
400,720.052
401,710.937
402,704.427
403,704.427
404,711.589
405,753.255
406,737.63
407,748.698
408,757.812
409,763.672
410,763.672
411,754.557
412,745.443
413,739.583
414,744.141
415,746.094
416,755.859
417,779.948
418,815.104
419,845.052
420,864.583
421,878.255
422,882.812
423,877.604
424,863.932
425,860.026
426,857.422
427,861.328
428,867.187
429,871.094
430,875
431,872.396
432,867.839
433,862.63
434,859.375
435,856.771
436,851.562
437,847.656
438,843.75
439,839.844
440,831.38
441,822.917
442,817.057
443,808.594
444,805.339
445,806.641
446,813.151
447,815.755
448,822.266
449,833.333
450,840.495
451,841.146
452,848.307
453,857.422
454,858.724
455,849.609
456,843.75
457,846.354
458,842.448
459,837.24
460,841.797
461,849.609
462,850.26
463,846.354
464,841.146
465,839.844
466,839.844
467,839.844
468,842.448
469,843.75
470,837.891
471,828.776
472,807.943
473,787.76
474,770.833
475,755.859
476,751.302
477,753.255
478,761.068
479,774.089
480,791.016
481,807.292
482,819.01
483,832.682
484,849.609
485,856.12
486,858.073
487,860.677
488,859.375
489,854.818
490,863.281
491,864.583
492,858.073
493,842.448
494,830.729
495,816.406
496,783.203
497,762.37
498,751.302
499,752.604
500,762.37
501,776.042
502,787.109
503,800.781
504,813.151
505,821.615
506,818.359
507,809.896
508,800.781
509,794.922
510,788.411
511,783.203
512,787.76
513,790.365
514,798.177
515,806.641
516,813.802
517,819.01
518,822.917
519,825.521
520,830.078
521,833.984
522,833.984
523,951.823
524,949.87
525,955.729
526,956.38
527,950.521
528,950.521
529,832.682
530,828.776
531,822.917
532,822.917
533,827.474
534,828.125
535,834.635
536,849.609
537,853.516
538,854.167
539,852.214
540,849.609
541,846.354
542,837.891
543,834.635
544,831.38
545,834.635
546,835.937
547,833.333
548,832.031
549,835.937
550,834.635
551,834.635
552,839.193
553,839.844
554,840.495
555,843.099
556,847.656
557,843.099
558,843.099
559,851.562
560,853.516
561,856.12
562,865.234
563,867.839
564,867.839
565,862.63
566,860.677
567,856.12
568,848.958
569,847.005
570,845.052
571,846.354
572,844.401
573,843.099
574,842.448
575,842.448
576,842.448
577,841.797
578,843.75
579,846.354
580,849.609
581,815.755
582,867.839
583,860.677
584,850.911
585,841.797
586,831.38
587,863.281
588,818.359
589,844.401
590,870.443
591,832.031
592,922.526
593,932.292
594,928.385
595,913.411
596,901.042
597,955.078
598,881.51
599,883.464
600,891.276
601,896.484
602,900.391
603,897.135
604,889.323
605,886.068
606,825.521
607,875.651
608,862.63
609,843.75
610,787.109
611,820.312
612,831.38
613,794.922
614,786.458
615,785.807
616,787.76
617,789.714
618,814.453
619,779.948
620,784.505
621,794.922
622,846.354
623,807.943
624,830.078
625,851.562
626,871.094
627,884.766
628,893.229
629,900.391
630,895.833
631,889.323
632,882.161
633,873.698
634,863.281
635,852.214
636,793.62
637,847.656
638,835.286
639,821.615
640,809.245
641,798.828
642,845.703
643,779.948
644,790.365
645,804.687
646,818.359
647,835.286
648,855.469
649,868.49
650,875.651
651,883.464
652,888.672
653,886.719
654,872.396
655,865.234
656,863.281
657,854.167
658,854.167
659,858.073
660,866.536
661,873.047
662,870.443
663,867.187
664,858.073
665,843.75
666,833.984
667,825.521
668,820.312
669,821.615
670,828.776
671,837.24
672,838.542
673,839.193
674,835.937
675,831.38
676,818.359
677,811.198
678,805.339
679,802.734
680,804.687
681,818.359
682,828.125
683,832.682
684,837.891
685,839.844
686,835.937
687,824.87
688,824.219
689,824.219
690,825.521
691,827.474
692,833.333
693,831.38
694,830.078
695,833.984
696,836.589
697,836.589
698,833.984
699,839.844
700,839.193
701,836.589
702,829.427
703,824.87
704,819.01
705,811.849
706,809.896
707,802.734
708,800.13
709,796.224
710,796.875
711,793.62
712,789.714
713,787.76
714,788.411
715,790.365
716,789.714
717,790.365
718,792.969
719,798.177
720,802.734
721,807.292
722,813.151
723,820.964
724,819.661
725,819.01
726,817.708
727,814.453
728,818.359
729,821.615
730,830.729
731,835.286
732,837.24
733,842.448
734,839.844
735,831.38
736,822.917
737,819.661
738,812.5
739,802.734
740,792.969
741,784.505
742,739.583
743,783.854
744,783.203
745,780.599
746,783.203
747,789.062
748,790.365
749,811.849
750,823.568
751,835.937
752,791.667
753,864.583
754,916.667
755,851.562
756,845.052
757,842.448
758,892.578
759,823.568
760,768.88
761,833.984
762,838.542
763,837.891
764,836.589
765,837.24
766,886.068
767,823.568
768,824.219
769,826.172
770,776.693
771,847.656
772,854.818
773,856.771
774,859.375
775,863.281
776,921.875
777,857.422
778,854.167
779,859.375
780,856.771
781,850.911
782,837.891
783,824.87
784,815.104
785,800.781
786,797.526
787,801.432
788,807.292
789,815.755
790,824.219
791,828.125
792,825.521
793,772.786
794,824.87
795,818.359
796,805.99
797,757.812
798,803.385
799,845.703
800,782.552
801,781.25
802,788.411
803,838.542
804,794.922
805,804.687
806,823.568
807,835.937
808,842.448
809,851.562
810,864.583
811,869.792
812,860.677
813,852.214
814,846.354
815,835.937
816,817.708
817,801.432
818,795.573
819,793.62
820,796.875
821,802.083
822,811.198
823,817.708
824,821.615
825,823.568
826,818.359
827,810.547
828,804.036
829,798.828
830,795.573
831,789.714
832,785.807
833,779.948
834,768.88
835,760.417
836,748.047
837,708.333
838,729.167
839,719.401
840,711.589
841,706.38
842,703.125
843,731.12
844,705.078
845,715.495
846,733.724
847,751.953
848,775.391
849,798.828
850,813.802
851,823.568
852,833.984
853,841.797
854,841.146
855,841.797
856,848.958
857,849.609
858,840.495
859,828.125
860,813.802
861,762.37
862,781.901
863,768.229
864,792.318
865,769.531
866,753.906
867,757.812
868,749.349
869,743.49
870,701.823
871,833.333
872,840.495
873,833.333
874,827.474
875,823.568
876,824.219
877,673.828
878,703.776
879,723.307
880,699.87
881,701.823
882,671.875
883,758.464
884,740.234
885,766.276
886,768.229
887,782.552
888,781.901
889,814.453
890,823.568
891,820.964
892,780.599
893,834.635
894,880.208
895,800.781
896,795.573
897,802.083
898,854.167
899,753.906
900,827.474
901,834.635
