History Index - RR,R-R Interval(ms) - RR
0,847.656
1,797.526
2,810.547
3,844.401
4,798.828
5,829.427
6,804.036
7,845.052
8,824.87
9,780.599
10,848.958
11,801.432
12,798.828
13,751.302
14,791.667
15,811.198
16,745.443
17,795.573
18,794.271
19,891.276
20,803.385
21,710.937
22,858.724
23,782.552
24,795.573
25,737.63
26,775.391
27,833.333
28,631.51
29,600.26
30,583.333
31,587.24
32,558.594
33,633.464
34,732.422
35,733.073
36,752.604
37,697.266
38,705.078
39,652.344
40,617.839
41,623.698
42,608.073
43,660.156
44,682.943
45,681.641
46,669.922
47,738.281
48,710.286
49,701.823
50,684.245
51,655.599
52,666.016
53,781.25
54,770.182
55,761.719
56,759.115
57,796.875
58,776.693
59,649.089
60,740.234
61,833.333
62,843.099
63,838.542
64,904.948
65,936.849
66,954.427
67,817.708
68,736.328
69,735.677
70,727.214
71,696.615
72,638.021
73,690.755
74,790.365
75,793.62
76,792.318
77,805.99
78,824.219
79,836.589
80,830.078
81,822.266
82,825.521
83,832.031
84,835.286
85,865.234
86,823.568
87,800.781
88,764.974
89,728.516
90,693.359
91,642.578
92,676.432
93,714.193
94,751.302
95,802.083
96,831.38
97,876.953
98,957.031
99,880.208
100,786.458
101,638.021
102,583.984
103,448.568
104,278.646
105,358.724
106,440.755
107,549.479
108,594.401
109,722.656
110,847.656
111,845.052
112,841.797
113,844.401
114,847.656
115,846.354
116,826.823
117,814.453
118,835.286
119,777.995
120,716.146
121,703.125
122,704.427
123,688.151
124,657.552
125,705.729
126,753.255
127,751.302
128,745.443
129,752.604
130,778.646
131,806.641
132,821.615
133,840.495
134,863.932
135,874.349
136,861.328
137,845.703
138,870.443
139,897.135
140,893.229
141,923.177
142,955.078
143,968.75
144,986.328
145,977.214
146,975.911
147,949.87
148,926.432
149,916.667
150,865.234
151,820.312
152,797.526
153,787.76
154,802.734
155,824.219
156,843.75
157,888.021
158,925.13
159,938.151
160,915.365
161,893.229
162,879.557
163,846.354
164,844.401
165,871.094
166,890.625
167,923.828
168,960.937
169,973.958
170,972.656
171,978.516
172,973.958
173,957.682
174,947.917
175,960.937
176,949.219
177,906.901
178,896.484
179,904.948
180,897.786
181,875.651
182,878.906
183,901.693
184,898.437
